campground,recgov_url,modesto_drive_estimate,modesto_distance_estimate,citrus_heights_drive_estimate,citrus_heights_distance_estimate,price_per_night,site_count,fit_type,amenities,recommendation,review_signal,listing_summary,caution,2_night_arrival_windows,3_night_arrival_windows
BLACK OAK,https://www.recreation.gov/camping/campgrounds/232021,about 3 hr 15 min,137 mi,about 1 hr 45 min,56 mi,$105-$145,4 group sites,Group campground,"Lake Access, Water, Vault Toilets, Picnic Area, Grills, Campfire Circles, Boat Ramp",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Strong review signal: 4.2/5 from 13 Recreation.gov ratings.,"Black Oak Campground is group camping destination near Stumpy Meadows Lake on the Eldorado National Forest. The forest boasts over 400 miles of hiking trails and an abundance of lakes and... Stumpy Meadows Lake, with its clear waters and 5-mph speed limit, offers plenty of swimming, kayaking and canoeing opportunities. The lake is regularly stocked with rainbow trout from May...",Bear-area food storage rules may apply.,"Jul 19-Jul 22, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 30","Jul 19-Jul 21, Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 29"
PONDEROSA COVE CAMPGROUND,https://www.recreation.gov/camping/campgrounds/233285,about 3 hr 40 min,126 mi,about 2 hr 15 min,56 mi,$175,1 group site,Group campground,"Drinking Water, Vault Toilets, Grills, Pets Allowed, Dump Station, Camping",Good if we want one reservation and a shared camp area. Confirm how close the water access is and whether the vehicle limit works for the family.,Very strong review signal: 4.5/5 from 4 Recreation.gov ratings.,"Ponderosa Cove greets group campers with shaded campsites close to scenic Stumpy Meadows Reservoir. The campground provides a pleasant destination for bird watching and nature viewing, in... Enjoy a picnic in the campground, or head to another picnic area at Stumpy Meadows Boat Ramp. The reservoir is great for swimming and fishing for brown and rainbow trout. Boating is also...",Bear-area food storage rules may apply.,"Jul 20, Jul 26-Jul 28, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 26","Jul 26-Jul 27, Aug 9-Aug 10, Aug 16-Aug 17, Aug 23-Aug 25"
FORBES CREEK,https://www.recreation.gov/camping/campgrounds/232045,about 3 hr 5 min,138 mi,about 1 hr 30 min,52 mi,$132,2 group sites,Group campground,"Drinking Water, Vault Toilets, Swimming Site, Hiking, Fishing, Camping, Boating",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Strong review signal: 4.2/5 from 6 Recreation.gov ratings.,"Forbes Creek Group Campground is located near the southeast shore of Sugar Pine Reservoir in the Tahoe National Forest. Visitors enjoy the area for its fishing, canoeing and hiking... Fishing, canoeing, swimming and boating are popular activities on the reservoir. A trail system for walking and non-motorized biking connects the two group sites at the campground, to the...",Bear-area food storage rules may apply.,"Jul 19-Jul 20, Aug 12, Aug 16-Aug 19, Aug 23-Aug 26","Jul 19, Aug 16-Aug 18, Aug 23-Aug 25"
SILVER CREEK GROUP CAMPGROUND,https://www.recreation.gov/camping/campgrounds/234133,about 2 hr 55 min,137 mi,about 1 hr 35 min,66 mi,$125,1 group site,Group campground,"Vault Toilets, Picnic Area, Pets Allowed, Swimming Site, Wildlife Viewing, Water Sports, Hiking",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Very strong review signal: 5.0/5 from 1 Recreation.gov ratings.,"Silver Creek, located in the Crystal Basin area, offers a fun atmosphere with beautiful scenery for group gatherings. The Ice House Reservoir is less than 2 miles away, providing fun... Swimming and fishing are both excellent recreation options on the creek. Rainbow and brown trout are found in these waters. The nearby Ice House Campground is convenient for access to Ice...",Bear-area food storage rules may apply.,"Jul 19-Jul 21, Aug 5, Aug 18-Aug 19, Aug 23-Aug 25, Aug 30","Jul 19-Jul 20, Aug 18, Aug 23-Aug 24"
GATES GROUP,https://www.recreation.gov/camping/campgrounds/232048,about 4 hr 20 min,164 mi,about 2 hr 40 min,78 mi,$82-$165,3 group sites,Group campground,"Vault Toilets, Picnic Tables, Grills, Dump Station, Swimming Site, Picnicking, Hiking",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Strong review signal: 4.2/5 from 5 Recreation.gov ratings.,"Gates Group Campground is located on the North Fork American River, at the north end of the French Meadows Reservoir in the Tahoe National Forest. It is 40 miles from the town of... The North Fork American River provides fishing and swimming. The reservoir can be accessed nearby. Popular activities include boating, canoeing, fishing and swimming. Two boat ramps are...",Bear-area food storage rules may apply.,"Jul 19-Jul 22, Jul 26, Aug 2-Aug 12, Aug 16-Aug 19, Aug 23-Aug 30","Jul 19-Jul 21, Aug 2-Aug 11, Aug 16-Aug 18, Aug 23-Aug 29"
COYOTE GROUP,https://www.recreation.gov/camping/campgrounds/232032,about 4 hr 15 min,164 mi,about 2 hr 40 min,78 mi,$82-$143,4 group sites,Group campground,"Drinking Water, Vault Toilets, Parking Area, Swimming Site, Hiking, Fishing, Camping",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Strong review signal: 4.2/5 from 9 Recreation.gov ratings.,"Coyote Group Campground is located on the northeast end of French Meadows Reservoir, near the Middle Fork of American River. The facility is located in a remote area approximately 40 miles... The Middle Fork of American River provides visitors with ample opportunities for fishing and swimming. Popular activities on the nearby reservoir include boating, canoeing, fishing and...",Bear-area food storage rules may apply.,"Jul 18, Jul 25-Jul 26, Aug 2-Aug 5, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 30","Jul 25, Aug 2-Aug 4, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 29"
Hornswoggle Group Campground,https://www.recreation.gov/camping/campgrounds/10040012,about 3 hr 15 min,156 mi,about 1 hr 35 min,70 mi,$88-$155,6 group sites,Group campground,"Drinking Water, Vault Toilets, Flush Toilets, Picnic Tables, Pets Allowed, Biking, Boating",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Mixed-to-positive review signal: 3.5/5 from 11 Recreation.gov ratings.,"Bullards Bar Reservoir is located on the North Yuba River at an elevation of 2000 feet. It is located approximately 21 miles north of Nevada City, California. It has a maximum surface area... Activities include wildlife viewing, hiking, mountain biking, horseback riding, camping, fishing, boating, water skiing, and other water sports. Swimming opportunities are limited because...",Bear-area food storage rules may apply.,"Jul 21-Jul 22, Jul 26-Jul 29, Aug 2-Aug 6, Aug 9-Aug 12, Aug 16-Aug 28, Aug 30","Jul 26-Jul 28, Aug 2-Aug 5, Aug 9-Aug 11, Aug 16-Aug 27"
South Fork Group - Eldorado NF,https://www.recreation.gov/camping/campgrounds/233879,about 3 hr 35 min,150 mi,about 2 hr 10 min,79 mi,$100,1 group site,Group campground,"Swimming Site, Hunting, Hiking, Fishing, Camping, Boating, Biking",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Limited or mixed review signal: 2.3/5 from 3 Recreation.gov ratings.,"South Fork is the largest group campground in the Crystal Basin Recreation Area, nestled in the vast expanse of the Eldorado National Forest. The remote location affords visitors a true... With the South Fork of the Rubicon River located within walking distance, the group camp provides excellent fishing, swimming and other water sports and activities.",Bear-area food storage rules may apply.,"Jul 19-Jul 20, Jul 29, Aug 2-Aug 5","Jul 19, Aug 2-Aug 4"
BIG SILVER GROUP,https://www.recreation.gov/camping/campgrounds/233768,about 3 hr 10 min,143 mi,about 1 hr 50 min,72 mi,$145,1 group site,Group campground,"Hiking, Fishing, Camping, Boating, Biking",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Very strong review signal: 5.0/5 from 1 Recreation.gov ratings.,"Big Silver Group Campground offers tent and RV camping for up to 50 guests. The campground is located 23 miles east of Placerville on Highway 50 and 16 miles north on Ice House Road, east... Visitors may enjoy forest-lined scenic views and recreation opportunities, such as, hiking, fishing, biking, wildlife viewing and migratory bird spotting. The campground has immediate...",Bear-area food storage rules may apply.,"Jul 27, Aug 9-Aug 11",Aug 9-Aug 10
Bear River Group Campground,https://www.recreation.gov/camping/campgrounds/234172,about 2 hr 55 min,112 mi,about 2 hr 30 min,86 mi,$115-$145,4 group sites,Group campground,"Swimming Site, Hiking, Fishing, Camping, Boating, Biking",Best for keeping everyone together in one group area while still having easy lake recreation. Confirm vehicle limits and exact group capacity before paying.,Very strong review signal: 5.0/5 from 9 Recreation.gov ratings.,"The Bear River Group Campground offers four separate group campsites on a site above the south side of the Lower Bear River Reservoir. The proximity to water and the mixed pine setting in... Lake activities include fishing, swimming, boating, canoeing and picnicking on the shores. Rainbow trout are found in abundance throughout the season, in addition to smaller populations of...",Bear-area food storage rules may apply.,"Jul 20-Jul 21, Jul 26-Jul 27, Aug 2-Aug 5, Aug 9-Aug 11, Aug 16-Aug 19, Aug 23-Aug 26, Aug 30","Jul 20, Jul 26, Aug 2-Aug 4, Aug 9-Aug 10, Aug 16-Aug 18, Aug 23-Aug 25"
